file,premises,goals,interfaceId,premise,effect,elementAttr,attackAttr,useAttr,classHash,classSize
EscapeNotice1,"[0,1]","[{""name"":""Escape"",""premiseCount"":1,""premises"":[1]}]",166,0,1,0,0,0,0x17B7F990,736
EscapeNotice2,"[0,1]","[{""name"":""Escape"",""premiseCount"":1,""premises"":[1]}]",167,0,1,0,0,0,0x0EBEA82A,736
Follow,"[0,1]","[{""name"":""Follow"",""premiseCount"":1,""premises"":[1]}]",1,0,1,0,0,0,0x6E5014CF,752
Goto,"[0,1]","[{""name"":""Goto"",""premiseCount"":1,""premises"":[1]}]",27,0,1,0,0,0,0x08B4D591,720
GotoOm,"[0,1]","[{""name"":""GotoOm"",""premiseCount"":1,""premises"":[1]}]",168,0,1,0,0,0,0x5A01DB9B,720
HelpAction,"[0,1]","[{""name"":""Help"",""premiseCount"":1,""premises"":[1]}]",73,0,1,0,0,0,0x20638217,768
HoldAction,"[0,1]","[{""name"":""Hold"",""premiseCount"":1,""premises"":[1]}]",4,0,1,0,0,0,0x451E8416,768
HoldAttack,"[0,1]","[{""name"":""DownAttack"",""premiseCount"":1,""premises"":[1]}]",100,0,1,0,0,0,0x62928FC0,784
HoldAttack,"[0,1]","[{""name"":""DownAttack"",""premiseCount"":1,""premises"":[1]}]",111,0,1,0,0,0,0x36967F38,784
HoldAttack,"[0,1]","[{""name"":""DownAttack"",""premiseCount"":1,""premises"":[1]}]",85,0,1,0,0,0,0x0C8F0A12,784
HoldAttack,"[0,1]","[{""name"":""DownAttack"",""premiseCount"":1,""premises"":[1]}]",87,0,1,0,0,0,0x650F6D86,784
HoldAttack,"[0,1]","[{""name"":""DownAttack"",""premiseCount"":1,""premises"":[1]}]",41,0,1,0,0,0,0x20CCB6A7,752
HoldWait,"[0,1]","[{""name"":""HoaldWait"",""premiseCount"":1,""premises"":[1]}]",65,0,1,0,0,0,0x3D21C218,720
HoldWait4Feet,"[0,1]","[{""name"":""HoaldWait4Feet"",""premiseCount"":1,""premises"":[1]}]",66,0,1,0,0,0,0x0F103C47,720
ItemFind,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",147,0,1,0,0,0,0x3802DA3E,736
ItemGet,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",147,0,1,0,0,0,0x3802DA3E,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
ItemThrow,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",158,0,1,0,0,0,0x5A60C27F,736
Jump,"[0,1]","[{""name"":""Jump"",""premiseCount"":1,""premises"":[1]}]",2,0,1,0,0,0,0x7D678F07,736
JumpSt500,"[0,1]","[{""name"":""Jump"",""premiseCount"":1,""premises"":[1]}]",177,0,1,0,0,0,0x0B7334E2,800
LadderClimb,"[0,1]","[{""name"":""LadderClimb"",""premiseCount"":1,""premises"":[1]}]",60,0,1,0,0,0,0x31D9EC9A,736
LadderDismount,"[0,1]","[{""name"":""LadderMount"",""premiseCount"":1,""premises"":[1]}]",60,0,1,0,0,0,0x31D9EC9A,736
Launch,"[0,1]","[{""name"":""Launch"",""premiseCount"":1,""premises"":[1]}]",17,0,1,0,0,0,0x4CACC2FB,736
LiftCorpse,"[0,1]","[{""name"":""LiftCorpse"",""premiseCount"":1,""premises"":[1]}]",116,0,1,0,0,0,0x6532E65E,768
MultiPlier,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",59,0,1,0,0,8192,0x05EF7B81,752
MultiPlier,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",46,0,1,0,0,16384,0x2C4D1B6E,752
MultiPlier,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",40,0,1,0,0,32768,0x50CBA120,752
MultiPlier,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",48,0,1,0,0,65536,0x73EF16CA,752
MultiPlier,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",49,0,1,0,0,131072,0x00BDBF4F,752
OmBreak,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",142,0,1,0,0,0,0x519157C3,720
OpenDoor,"[0,1]","[{""name"":""OpenDoor"",""premiseCount"":1,""premises"":[1]}]",159,0,1,0,0,0,0x3CC6B987,720
PlCons,"[0,1]","[{""name"":""PL_CONS"",""premiseCount"":1,""premises"":[1]}]",128,0,1,0,0,0,0x1B596D94,720
PlEscape,"[0,1]","[{""name"":""Follow"",""premiseCount"":1,""premises"":[1]}]",181,0,1,0,0,0,0x24BFEACC,736
Precaution,"[0,1]","[{""name"":""Precaution"",""premiseCount"":1,""premises"":[1]}]",72,0,1,0,0,0,0x7DCE96DF,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",16,0,1,0,0,0,0x14B094E8,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",36,0,1,0,0,0,0x76533A91,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",37,0,1,0,0,0,0x4EDE9443,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",68,0,1,0,0,0,0x4C0549B2,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",69,0,1,0,0,0,0x571220DC,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",58,0,1,0,0,0,0x0939E203,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",178,0,1,0,0,0,0x0867972D,720
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",45,0,1,0,0,0,0x451DD2CF,752
PrecautionSub,"[0,1]","[{""name"":""PrecautionSub"",""premiseCount"":1,""premises"":[1]}]",94,0,1,0,0,0,0x2608299E,784
Provoke,"[0,1,2]","[{""name"":""ProvokeAction"",""premiseCount"":1,""premises"":[2]}]",8,0,2,0,0,0,0x13D83225,736
Receive,"[0,1]","[{""name"":""ReceiveAction"",""premiseCount"":1,""premises"":[1]}]",1,0,1,0,0,0,0x6E5014CF,752
Recover,"[0,1]","[{""name"":""Recover"",""premiseCount"":1,""premises"":[1]}]",26,0,1,0,0,0,0x7CD2D48D,720
Recovery,"[0,1]","[{""name"":""Recovery"",""premiseCount"":1,""premises"":[1]}]",20,0,1,0,0,8192,0x4E5A32EE,752
Recovery,"[0,1]","[{""name"":""Recovery"",""premiseCount"":1,""premises"":[1]}]",60,0,1,0,0,18432,0x20E82AF8,752
Recovery,"[0,1]","[{""name"":""Recovery"",""premiseCount"":1,""premises"":[1]}]",57,0,1,0,0,34816,0x56E4B373,752
StandOff,"[0,1]","[{""name"":""StandOff"",""premiseCount"":1,""premises"":[1]}]",67,0,1,0,0,0,0x2B6B7D0C,832
StatusUp,"[0,1]","[{""name"":""Item"",""premiseCount"":1,""premises"":[1]}]",71,0,1,65540,0,0,0x686FD75C,736
StatusUp,"[0,1]","[{""name"":""Item"",""premiseCount"":1,""premises"":[1]}]",71,0,1,65552,0,0,0x686FD75C,736
StatusUp,"[0,1]","[{""name"":""Item"",""premiseCount"":1,""premises"":[1]}]",71,0,1,65544,0,0,0x686FD75C,736
StatusUp,"[0,1]","[{""name"":""Item"",""premiseCount"":1,""premises"":[1]}]",71,0,1,32768,0,0,0x686FD75C,736
StatusUp,"[0,1]","[{""name"":""Item"",""premiseCount"":1,""premises"":[1]}]",71,0,1,32768,0,0,0x686FD75C,736
TreasureBox,"[0,1]","[{""name"":""TreasureBox"",""premiseCount"":1,""premises"":[1]}]",165,0,1,0,0,0,0x26EAAF2F,720
TwoPlatoons,"[0,1]","[{""name"":""OmBreak"",""premiseCount"":1,""premises"":[1]}]",180,0,1,0,0,0,0x4BFA3902,752
UseItem,"[0,1]","[{""name"":""UseItem"",""premiseCount"":1,""premises"":[1]}]",71,0,1,0,0,0,0x686FD75C,736
VictoryPose,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",117,0,1,0,0,0,0x5E333183,816
Wait,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",0,0,1,0,0,0,0x273A0AF4,800
WaitInfinity,"[0,1]","[{""name"":""WaitInfinity"",""premiseCount"":1,""premises"":[1]}]",0,0,1,0,0,0,0x273A0AF4,800
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",9,0,1,32,0,0,0x43876247,800
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",124,0,1,0,0,0,0x46C04C0F,800
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",132,0,1,0,0,0,0x17115EEA,800
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",133,0,1,0,0,0,0x34E451FA,800
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",33,0,1,0,0,0,0x316932BF,784
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",99,0,1,0,0,0,0x75F28B5E,784
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",10,0,1,0,0,2,0x30E8A4D3,784
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",101,0,1,0,0,0,0x540483A3,784
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",103,0,1,0,0,0,0x24EF0083,784
WpnDaggerAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",106,0,1,0,0,0,0x6E79A527,784
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",125,0,1,0,0,0,0x3EB04C41,800
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",126,0,1,0,0,0,0x71F79C63,800
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",134,0,1,0,0,0,0x7E8FCCF1,800
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",135,0,1,0,0,0,0x6C3B2015,800
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",136,0,1,0,0,0,0x61332DE0,800
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",31,0,1,32,0,0,0x6093F962,784
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",76,0,1,0,0,0,0x7871742A,784
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",96,0,1,0,0,0,0x1C8132FC,784
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",78,0,1,0,0,0,0x209B335C,784
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",97,0,1,0,0,0,0x0CF3920C,784
WpnGSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",32,0,1,0,0,0,0x23BCDB0A,784
WpnOff,"[0,1]","[{""name"":""WpnOff"",""premiseCount"":1,""premises"":[1]}]",146,0,1,0,0,0,0x07DDECF8,736
WpnShieldAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",34,0,1,64,0,0,0x477F751A,784
WpnShieldAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",35,0,1,64,0,0,0x0359FA24,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",6,0,1,32,0,0,0x3013092D,800
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",123,0,1,0,0,0,0x72EBE73B,800
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",127,0,1,0,0,0,0x3A8542C7,800
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",128,0,1,0,0,0,0x19FE73E8,800
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",7,0,1,32,2,1,0x7DC7B884,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",91,0,1,0,0,0,0x6EDA79E8,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",74,0,1,0,0,0,0x03E02746,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",92,0,1,0,0,0,0x117C3855,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",29,0,1,32,0,0,0x7A7C946E,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",93,0,1,0,0,0,0x132D670A,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",30,0,1,32,0,0,0x4A7503AB,784
WpnSwordAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",95,0,1,0,0,0,0x68C9DC39,784
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",13,0,1,0,0,0,0x2339581D,736
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",174,0,1,0,0,0,0x168C9E67,800
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",175,0,1,0,0,0,0x115B8B91,800
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",14,0,1,1,0,0,0x461B64F5,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",38,0,1,2,0,0,0x594D7C36,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",39,0,1,4,0,0,0x73AABDF7,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",24,0,1,1,0,0,0x21DCC358,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",15,0,1,2,0,1,0x05F6944B,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",47,0,1,0,0,0,0x294D5C31,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",59,0,1,0,0,0,0x05EF7B81,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",46,0,1,2,0,0,0x2C4D1B6E,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",40,0,1,4,0,0,0x50CBA120,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",48,0,1,0,0,0,0x73EF16CA,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",49,0,1,0,0,0,0x00BDBF4F,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",50,0,1,0,0,0,0x387969CA,752
WpnWandAtk,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",52,0,1,0,0,0,0x21C81EDC,752
