slot,index,sensor,code,category,objectId,extra,personalities,orders
Wait_Follow - 06,1,0,41,0,0,1,"[{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":0}]}]",[]
Wait_Follow - 06,2,0,42,0,0,1,"[{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":2}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":1}]}]",[]
Wait_Follow - 06,3,0,18,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":2}]}]","[{""value"":7,""type"":10}]"
Wait_Follow - 06,4,0,33,0,0,1,[],"[{""value"":7,""type"":10}]"
Wait_Follow - 07,0,0,6,0,0,1,[],"[{""value"":6,""type"":10}]"
Wait_Follow - 07,1,0,51,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":2}]}]","[{""value"":5,""type"":9}]"
Etc - 00,0,0,63,0,0,1,[],[]
Etc - 02,0,1,68,0,0,1,[],[]
Etc - 04,0,1,54,0,0,1,"[{""addS32"":-3,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":5,""state"":2}]},{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":5,""state"":1}]},{""addS32"":2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":0,""state"":1}]},{""addS32"":5,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":0,""state"":2}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":1,""state"":0}]}]","[{""value"":7,""type"":9}]"
Etc - 04,1,1,55,0,0,1,"[{""addS32"":-3,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":6,""state"":2}]},{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":6,""state"":1}]},{""addS32"":2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":0,""state"":1}]},{""addS32"":5,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":0,""state"":2}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":1,""state"":0}]}]",[]
Etc - 04,2,1,53,0,0,1,[],[]
Etc - 04,3,1,69,0,0,1,[],[]
Etc - 06,0,0,67,0,0,1,[],"[{""value"":5,""type"":10}]"
Etc - 06,1,1,72,0,0,1,[],"[{""value"":5,""type"":10}]"
Etc - 06,2,1,73,0,0,1,[],"[{""value"":5,""type"":10}]"
Etc - 07,0,1,66,0,0,1,"[{""addS32"":-4,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":5,""state"":2}]}]","[{""value"":3,""type"":10}]"
Etc - 07,1,1,62,0,0,1,[],"[{""value"":4,""type"":11}]"
Etc - 07,2,1,61,0,0,1,"[{""addS32"":-3,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":1,""state"":0}]}]",[]
Etc - 07,3,1,60,0,0,1,"[{""addS32"":-3,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":5,""state"":2}]},{""addS32"":-3,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":6,""state"":2}]}]",[]
